ts_code,trade_date,name,close,pct_change,vol,amount,pe,pb,total_mv
801963.SI,20031204,炼化及贸易,1457.65,0.51,15126.0,69296.0,28.78,2.72,35555035.0
801962.SI,20031204,油服工程,1154.27,-0.42,819.0,4882.0,61.24,3.06,2103793.0
801960.SI,20031204,石油石化,1361.48,0.48,16523.0,77743.0,30.77,2.64,38274074.0
801952.SI,20031204,焦炭Ⅱ,1153.34,0.23,475.0,4733.0,30.94,3.33,757067.0
801951.SI,20031204,煤炭开采,877.71,0.66,4332.0,36585.0,32.12,2.53,6277811.0
801950.SI,20031204,煤炭,911.22,0.6,4807.0,41318.0,31.93,2.62,7034878.0
801783.SI,20031204,股份制银行Ⅱ,695.17,2.88,19391.0,170316.0,28.12,3.52,16871635.0
801769.SI,20031204,出版,844.61,-0.46,1588.0,11143.0,51.28,2.65,1440496.0
801767.SI,20031204,数字媒体,774.75,0.31,582.0,3190.0,118.65,3.09,598626.0
801766.SI,20031204,影视院线,744.46,0.16,585.0,4447.0,49.5,2.32,903195.0
801765.SI,20031204,广告营销,1524.95,-0.08,1428.0,12135.0,82.35,4.02,1484146.0
801764.SI,20031204,游戏Ⅱ,910.21,-0.79,786.0,4558.0,45.67,3.56,890092.0
801745.SI,20031204,军工电子Ⅱ,565.9,1.74,511.0,3775.0,87.15,1.77,572381.0
801738.SI,20031204,电网设备,550.16,0.1,2721.0,17965.0,41.52,3.19,3540217.0
801737.SI,20031204,电池,925.94,-0.76,1124.0,6000.0,68.89,2.62,1353144.0
801736.SI,20031204,风电设备,627.77,-1.71,204.0,1992.0,45.68,2.68,259263.0
801735.SI,20031204,光伏设备,880.14,0.85,608.0,4655.0,29.19,2.24,1023346.0
